iter	Passed	Remaining
0	97	97382
1	163	81722
2	235	78261
3	312	77703
4	385	76680
5	474	78542
6	553	78481
7	646	80136
8	768	84657
9	872	86361
10	1003	90193
11	1098	90440
12	1195	90773
13	1286	90614
14	1355	88988
15	1421	87451
16	1494	86399
17	1578	86090
18	1661	85799
19	1732	84896
20	1790	83464
21	1867	83011
22	1939	82382
23	2017	82055
24	2081	81190
25	2159	80884
26	2245	80913
27	2332	80957
28	2390	80033
29	2460	79540
30	2539	79385
31	2622	79340
32	2706	79305
33	2777	78903
34	2849	78572
35	2917	78113
36	2989	77814
37	3076	77887
38	3152	77682
39	3224	77399
40	3288	76925
41	3363	76726
42	3428	76303
43	3509	76254
44	3573	75848
45	3640	75496
46	3728	75610
47	3817	75717
48	3995	77549
49	4063	77205
50	4134	76927
51	4219	76933
52	4299	76819
53	4380	76737
54	4449	76451
55	4539	76529
56	4617	76389
57	4685	76091
58	4775	76170
59	4862	76177
60	4956	76293
61	5059	76547
62	5137	76406
63	5229	76485
64	5310	76392
65	5404	76475
66	5503	76635
67	5606	76835
68	5773	77894
69	5904	78444
70	6005	78573
71	6102	78648
72	6207	78822
73	6320	79088
74	6402	78969
75	6490	78909
76	6625	79423
77	6766	79987
78	6910	80559
79	7015	80675
80	7108	80649
81	7187	80465
82	7294	80596
83	7387	80558
84	7470	80417
85	7576	80527
86	7697	80782
87	7777	80599
88	7864	80497
89	7956	80445
90	8049	80407
91	8154	80477
92	8276	80717
93	8356	80545
94	8446	80462
95	8538	80400
96	8641	80449
97	8767	80695
98	8867	80706
99	8960	80647
100	9071	80741
101	9160	80645
102	9277	80798
103	9386	80871
104	9486	80861
105	9563	80658
106	9650	80539
107	9731	80378
108	9830	80361
109	9909	80177
110	10003	80117
111	10099	80071
112	10166	79803
113	10261	79753
114	10361	79738
115	10450	79639
116	10565	79736
117	10678	79813
118	10783	79832
119	10873	79740
120	10960	79620
121	11057	79575
122	11133	79384
123	11266	79590
124	11393	79757
125	11500	79772
126	11578	79589
127	11656	79410
128	11747	79319
129	11826	79148
130	11925	79110
131	12031	79118
132	12132	79091
133	12241	79111
134	12339	79067
135	12453	79115
136	12554	79087
137	12653	79038
138	12762	79054
139	12861	79006
140	12942	78847
141	13033	78749
142	13111	78576
143	13184	78374
144	13275	78281
145	13360	78149
146	13431	77938
147	13570	78124
148	13743	78496
149	13834	78397
150	13947	78418
151	14034	78295
152	14102	78070
153	14210	78063
154	14311	78023
155	14436	78105
156	14567	78216
157	14673	78196
158	14787	78213
159	14860	78018
160	14940	77859
161	15031	77757
162	15117	77629
163	15197	77470
164	15270	77277
165	15339	77065
166	15409	76861
167	15487	76701
168	15586	76640
169	15663	76473
170	15731	76265
171	15802	76073
172	15917	76091
173	16082	76346
174	16166	76213
175	16277	76207
176	16350	76024
177	16427	75860
178	16508	75718
179	16585	75557
180	16657	75371
181	16745	75262
182	16843	75197
183	16934	75101
184	17003	74906
185	17095	74813
186	17183	74706
187	17268	74583
188	17339	74405
189	17417	74254
190	17515	74188
191	17593	74039
192	17690	73971
193	17776	73856
194	17908	73928
195	18034	73978
196	18148	73977
197	18261	73970
198	18337	73811
199	18419	73679
200	18500	73540
201	18567	73348
202	18663	73273
203	18735	73104
204	18838	73056
205	18920	72926
206	18991	72753
207	19085	72670
208	19166	72540
209	19236	72366
210	19313	72219
211	19389	72070
212	19468	71933
213	19547	71797
214	19629	71670
215	19720	71579
216	19814	71496
217	19886	71335
218	20007	71351
219	20103	71275
220	20203	71216
221	20311	71182
222	20387	71034
223	20466	70902
224	20551	70788
225	20638	70681
226	20714	70538
227	20792	70402
228	20863	70243
229	20937	70093
230	21006	69931
231	21103	69858
232	21185	69738
233	21263	69606
234	21338	69463
235	21407	69302
236	21506	69236
237	21578	69087
238	21645	68921
239	21707	68739
240	21780	68594
241	21850	68441
242	21928	68312
243	21988	68128
244	22068	68006
245	22160	67922
246	22229	67769
247	22319	67679
248	22387	67521
249	22460	67380
250	22519	67200
251	22587	67044
252	22642	66853
253	22714	66714
254	22776	66543
255	22838	66373
256	22902	66212
257	22973	66071
258	23064	65987
259	23139	65857
260	23234	65787
261	23314	65672
262	23382	65524
263	23452	65383
264	23514	65219
265	23596	65111
266	23676	64998
267	23757	64889
268	23829	64756
269	23910	64647
270	23989	64531
271	24065	64410
272	24141	64287
273	24216	64164
274	24277	64004
275	24347	63868
276	24422	63746
277	24507	63648
278	24595	63561
279	24660	63412
280	24729	63274
281	24804	63155
282	24874	63020
283	24950	62903
284	25016	62761
285	25074	62597
286	25136	62448
287	25220	62349
288	25313	62276
289	25392	62167
290	25460	62032
291	25527	61895
292	25592	61753
293	25646	61586
294	25710	61443
295	25818	61405
296	25908	61325
297	25966	61170
298	26031	61030
299	26100	60900
300	26175	60785
301	26304	60795
302	26421	60778
303	26559	60807
304	26650	60728
305	26733	60630
306	26804	60505
307	26890	60416
308	27080	60557
309	27172	60481
310	27253	60377
311	27326	60259
312	27420	60185
313	27518	60120
314	27610	60041
315	27701	59960
316	27769	59831
317	27849	59728
318	27928	59622
319	27999	59499
320	28086	59410
321	28154	59280
322	28237	59185
323	28324	59097
324	28437	59062
325	28539	59005
326	28651	58967
327	28743	58889
328	28828	58797
329	28908	58693
330	28987	58588
331	29075	58500
332	29155	58399
333	29256	58338
334	29350	58263
335	29438	58175
336	29560	58157
337	29640	58053
338	29731	57972
339	29804	57855
340	29876	57736
341	29947	57618
342	30024	57509
343	30101	57402
344	30175	57288
345	30255	57187
346	30332	57080
347	30411	56977
348	30472	56840
349	30584	56798
350	30673	56714
351	30781	56665
352	30869	56579
353	30944	56470
354	31032	56383
355	31109	56276
356	31173	56147
357	31258	56056
358	31347	55970
359	31415	55849
360	31501	55760
361	31582	55662
362	31664	55566
363	31747	55470
364	31838	55389
365	31920	55294
366	31995	55186
367	32075	55085
368	32154	54985
369	32231	54881
370	32303	54767
371	32376	54657
372	32439	54529
373	32514	54423
374	32607	54345
375	32679	54234
376	32770	54153
377	32849	54053
378	32913	53929
379	32978	53806
380	33036	53673
381	33094	53540
382	33162	53423
383	33221	53292
384	33284	53169
385	33353	53054
386	33415	52928
387	33479	52807
388	33547	52692
389	33613	52575
390	33690	52474
391	33738	52329
392	33799	52203
393	33862	52083
394	33931	51970
395	33994	51849
396	34061	51735
397	34125	51617
398	34194	51505
