,col_name,col_dtype,num_of_nulls,num_of_non_nulls,num_of_distinct_values,distinct_values_counts
0,SK_ID_CURR,int64,0,1716428,305811,"{120860: 116, 169704: 94, 318065: 78, 251643: 61, 425396: 60, 295809: 59, 129843: 58, 385133: 57, 177014: 56, 280155: 55}"
1,SK_ID_BUREAU,int64,0,1716428,1716428,"{5714462: 1, 6758530: 1, 6758496: 1, 6758495: 1, 6758494: 1, 6758493: 1, 6758492: 1, 6758491: 1, 6758490: 1, 6758489: 1}"
2,CREDIT_ACTIVE,object,0,1716428,4,"{'Closed': 1079273, 'Active': 630607, 'Sold': 6527, 'Bad debt': 21}"
3,CREDIT_CURRENCY,object,0,1716428,4,"{'currency 1': 1715020, 'currency 2': 1224, 'currency 3': 174, 'currency 4': 10}"
4,DAYS_CREDIT,int64,0,1716428,2923,"{-364: 1330, -336: 1248, -273: 1238, -357: 1218, -343: 1203, -315: 1202, -371: 1196, -365: 1194, -210: 1193, -245: 1192}"
5,CREDIT_DAY_OVERDUE,int64,0,1716428,942,"{0: 1712211, 30: 311, 60: 126, 8: 103, 13: 103, 9: 93, 7: 92, 14: 91, 17: 77, 11: 75}"
6,DAYS_CREDIT_ENDDATE,float64,105553,1610875,14096,"{0.0: 883, 3.0: 845, -7.0: 837, 1.0: 830, -14.0: 787, -10.0: 782, 4.0: 777, -2.0: 772, -1.0: 771, -42.0: 768}"
7,DAYS_ENDDATE_FACT,float64,633653,1082775,2917,"{-329.0: 811, -273.0: 794, -301.0: 791, -91.0: 785, -84.0: 783, -154.0: 783, -182.0: 782, -238.0: 778, -210.0: 778, -280.0: 773}"
8,AMT_CREDIT_MAX_OVERDUE,float64,1124488,591940,68251,"{0.0: 470650, 1440.0: 688, 225.0: 405, 45.0: 377, 4.5: 315, 90.0: 222, 4500.0: 220, 2700.0: 192, 9000.0: 192, 5400.0: 189}"
9,CNT_CREDIT_PROLONG,int64,0,1716428,10,"{0: 1707314, 1: 7620, 2: 1222, 3: 191, 4: 54, 5: 21, 9: 2, 6: 2, 8: 1, 7: 1}"
10,AMT_CREDIT_SUM,float64,13,1716415,236708,"{0.0: 66582, 225000.0: 57608, 135000.0: 50195, 450000.0: 37156, 90000.0: 36940, 180000.0: 28840, 45000.0: 26570, 67500.0: 25444, 270000.0: 22467, 675000.0: 20581}"
11,AMT_CREDIT_SUM_DEBT,float64,257669,1458759,226537,"{0.0: 1016434, 4.5: 653, -450.0: 543, 135000.0: 344, 90000.0: 320, 45000.0: 316, 22500.0: 307, 67500.0: 238, 225000.0: 237, 13500.0: 205}"
12,AMT_CREDIT_SUM_LIMIT,float64,591780,1124648,51726,"{0.0: 1050142, 135000.0: 2178, 4500.0: 1474, 45000.0: 1335, 90000.0: 974, 13500.0: 833, 22500.0: 766, 225000.0: 757, 67500.0: 678, 450000.0: 558}"
13,AMT_CREDIT_SUM_OVERDUE,float64,0,1716428,1616,"{0.0: 1712270, 4.5: 301, 9.0: 107, 13.5: 81, 18.0: 72, 22.5: 60, 45.0: 56, 27.0: 52, 36.0: 50, 31.5: 48}"
14,CREDIT_TYPE,object,0,1716428,15,"{'Consumer credit': 1251615, 'Credit card': 402195, 'Car loan': 27690, 'Mortgage': 18391, 'Microloan': 12413, 'Loan for business development': 1975, 'Another type of loan': 1017, 'Unknown type of loan': 555, 'Loan for working capital replenishment': 469, 'Cash loan (non-earmarked)': 56}"
15,DAYS_CREDIT_UPDATE,int64,0,1716428,2982,"{-7: 18503, -8: 18462, -11: 16975, -15: 16870, -12: 16827, -10: 16651, -9: 16546, -13: 16387, -6: 16281, -14: 16210}"
16,AMT_ANNUITY,float64,1226791,489637,40321,"{0.0: 256915, 4500.0: 5182, 13500.0: 3147, 22500.0: 2502, 9000.0: 1725, 18000.0: 1605, 45000.0: 1593, 27000.0: 1252, 2700.0: 1208, 6750.0: 1164}"
