,col_name,col_dtype,num_of_nulls,num_of_non_nulls,num_of_distinct_values,distinct_values_counts
0,SK_ID_PREV,int64,0,3840312,104307,"{2377894: 96, 2581635: 96, 1130707: 96, 1602951: 96, 2775491: 96, 1079971: 96, 1184786: 96, 2817372: 96, 1017996: 96, 2567670: 96}"
1,SK_ID_CURR,int64,0,3840312,103558,"{186401: 192, 311118: 178, 120076: 140, 128827: 129, 191826: 128, 432607: 128, 246089: 128, 264667: 127, 116448: 127, 173773: 127}"
2,MONTHS_BALANCE,int64,0,3840312,96,"{-4: 102115, -5: 100546, -3: 100355, -6: 98577, -7: 95332, -2: 94643, -8: 91419, -9: 86842, -10: 82525, -11: 78441}"
3,AMT_BALANCE,float64,0,3840312,1347904,"{0.0: 2156420, 67.5: 16049, 130.5: 3662, 270.0: 2313, 135.0: 921, 202.5: 742, 450.0: 536, 1345.5: 312, 92043.0: 252, 46570.5: 235}"
4,AMT_CREDIT_LIMIT_ACTUAL,int64,0,3840312,181,"{0: 753823, 180000: 529292, 135000: 430142, 45000: 329932, 90000: 319996, 67500: 308866, 450000: 238197, 112500: 182429, 225000: 162053, 270000: 125935}"
5,AMT_DRAWINGS_ATM_CURRENT,float64,749816,3090496,2267,"{0.0: 2665718, 4500.0: 35851, 9000.0: 27726, 45000.0: 22946, 2250.0: 22854, 22500.0: 22676, 13500.0: 21198, 6750.0: 14712, 18000.0: 13318, 90000.0: 12034}"
6,AMT_DRAWINGS_CURRENT,float64,0,3840312,187005,"{0.0: 3223443, 4500.0: 30257, 9000.0: 22968, 2250.0: 20212, 45000.0: 18947, 22500.0: 18670, 13500.0: 16964, 6750.0: 12658, 18000.0: 10729, 90000.0: 10169}"
7,AMT_DRAWINGS_OTHER_CURRENT,float64,749816,3090496,1832,"{0.0: 3078163, 3343.5: 782, 6682.5: 460, 4455.0: 441, 8910.0: 319, 46800.0: 242, 4680.0: 235, 9360.0: 216, 23400.0: 209, 5571.0: 195}"
8,AMT_DRAWINGS_POS_CURRENT,float64,749816,3090496,168748,"{0.0: 2825595, 450.0: 1287, 900.0: 976, 2250.0: 910, 4500.0: 801, 1350.0: 784, 225.0: 609, 45000.0: 462, 1800.0: 407, 2700.0: 379}"
9,AMT_INST_MIN_REGULARITY,float64,305236,3535076,312266,"{0.0: 1928864, 9000.0: 225429, 6750.0: 147469, 3375.0: 127613, 4500.0: 124979, 2250.0: 108350, 5625.0: 82303, 7875.0: 53931, 8100.0: 34436, 10800.0: 28194}"
10,AMT_PAYMENT_CURRENT,float64,767988,3072324,163209,"{0.0: 390507, 9000.0: 257297, 4500.0: 143572, 6750.0: 128296, 13500.0: 100454, 22500.0: 56016, 11250.0: 45497, 3375.0: 44600, 18000.0: 37897, 5625.0: 35591}"
11,AMT_PAYMENT_TOTAL_CURRENT,float64,0,3840312,182957,"{0.0: 2172223, 9000.0: 250826, 4500.0: 139736, 6750.0: 126483, 13500.0: 94005, 22500.0: 49059, 3375.0: 44678, 11250.0: 42999, 5625.0: 35558, 18000.0: 34154}"
12,AMT_RECEIVABLE_PRINCIPAL,float64,0,3840312,1195839,"{0.0: 2296167, 45000.0: 5072, 90000.0: 4767, 135000.0: 4513, 67500.0: 3537, 180000.0: 3256, 112500.0: 2034, 22500.0: 1283, 225000.0: 1229, 157500.0: 1212}"
13,AMT_RECIVABLE,float64,0,3840312,1338878,"{0.0: 2113816, 67.5: 3144, 270.0: 2301, 130.5: 825, 135.0: 756, 202.5: 699, 45000.0: 645, 450.0: 310, 90000.0: 264, 135000.0: 255}"
14,AMT_TOTAL_RECEIVABLE,float64,0,3840312,1339008,"{0.0: 2113643, 67.5: 3144, 270.0: 2301, 130.5: 825, 135.0: 756, 202.5: 699, 45000.0: 645, 450.0: 310, 90000.0: 264, 135000.0: 255}"
15,CNT_DRAWINGS_ATM_CURRENT,float64,749816,3090496,44,"{0.0: 2665718, 1.0: 213460, 2.0: 95647, 3.0: 46730, 4.0: 26335, 5.0: 14910, 6.0: 9179, 7.0: 5718, 8.0: 3992, 9.0: 2427}"
16,CNT_DRAWINGS_CURRENT,int64,0,3840312,129,"{0: 3229952, 1: 231319, 2: 116762, 3: 65318, 4: 43290, 5: 28987, 6: 20768, 7: 15872, 8: 12345, 9: 9534}"
17,CNT_DRAWINGS_OTHER_CURRENT,float64,749816,3090496,11,"{0.0: 3077688, 1.0: 11354, 2.0: 1076, 3.0: 259, 4.0: 65, 5.0: 27, 6.0: 11, 7.0: 9, 8.0: 3, 10.0: 3}"
18,CNT_DRAWINGS_POS_CURRENT,float64,749816,3090496,133,"{0.0: 2825594, 1.0: 72216, 2.0: 41061, 3.0: 27337, 4.0: 20273, 5.0: 15149, 6.0: 12133, 7.0: 9773, 8.0: 7993, 9.0: 6627}"
19,CNT_INSTALMENT_MATURE_CUM,float64,305236,3535076,121,"{0.0: 551467, 5.0: 91691, 2.0: 91035, 4.0: 89941, 6.0: 89829, 3.0: 89492, 1.0: 87306, 7.0: 87177, 8.0: 86882, 9.0: 81423}"
20,NAME_CONTRACT_STATUS,object,0,3840312,7,"{'Active': 3698436, 'Completed': 128918, 'Signed': 11058, 'Demand': 1365, 'Sent proposal': 513, 'Refused': 17, 'Approved': 5}"
21,SK_DPD,int64,0,3840312,917,"{0: 3686957, 1: 90369, 8: 2772, 32: 2340, 7: 1797, 62: 1406, 31: 1290, 366: 959, 93: 899, 18: 837}"
22,SK_DPD_DEF,int64,0,3840312,378,"{0: 3750972, 1: 83080, 8: 1729, 7: 1176, 32: 492, 5: 406, 31: 291, 18: 253, 12: 125, 62: 114}"
