,col_name,col_dtype,num_of_nulls,num_of_non_nulls,num_of_distinct_values,distinct_values_counts
0,SK_ID_CURR,int64,0,307511,307511,"{100002: 1, 337664: 1, 337661: 1, 337660: 1, 337659: 1, 337658: 1, 337657: 1, 337656: 1, 337655: 1, 337654: 1}"
1,TARGET,int64,0,307511,2,"{0: 282686, 1: 24825}"
2,NAME_CONTRACT_TYPE,object,0,307511,2,"{'Cash loans': 278232, 'Revolving loans': 29279}"
3,CODE_GENDER,object,0,307511,3,"{'F': 202448, 'M': 105059, 'XNA': 4}"
4,FLAG_OWN_CAR,object,0,307511,2,"{'N': 202924, 'Y': 104587}"
5,FLAG_OWN_REALTY,object,0,307511,2,"{'Y': 213312, 'N': 94199}"
6,CNT_CHILDREN,int64,0,307511,15,"{0: 215371, 1: 61119, 2: 26749, 3: 3717, 4: 429, 5: 84, 6: 21, 7: 7, 14: 3, 8: 2}"
7,AMT_INCOME_TOTAL,float64,0,307511,2548,"{135000.0: 35750, 112500.0: 31019, 157500.0: 26556, 180000.0: 24719, 90000.0: 22483, 225000.0: 20698, 202500.0: 16341, 67500.0: 11147, 270000.0: 10827, 81000.0: 6001}"
8,AMT_CREDIT,float64,0,307511,5603,"{450000.0: 9709, 675000.0: 8877, 225000.0: 8162, 180000.0: 7342, 270000.0: 7241, 900000.0: 6246, 254700.0: 4500, 545040.0: 4437, 808650.0: 4152, 135000.0: 3660}"
9,AMT_ANNUITY,float64,12,307499,13672,"{9000.0: 6385, 13500.0: 5514, 6750.0: 2279, 10125.0: 2035, 37800.0: 1602, 11250.0: 1459, 26217.0: 1453, 20250.0: 1345, 12375.0: 1339, 31653.0: 1269}"
10,AMT_GOODS_PRICE,float64,278,307233,1002,"{450000.0: 26022, 225000.0: 25282, 675000.0: 24962, 900000.0: 15416, 270000.0: 11428, 180000.0: 10123, 454500.0: 9157, 1125000.0: 9050, 135000.0: 8206, 315000.0: 5225}"
11,NAME_TYPE_SUITE,object,1292,306219,7,"{'Unaccompanied': 248526, 'Family': 40149, 'Spouse, partner': 11370, 'Children': 3267, 'Other_B': 1770, 'Other_A': 866, 'Group of people': 271}"
12,NAME_INCOME_TYPE,object,0,307511,8,"{'Working': 158774, 'Commercial associate': 71617, 'Pensioner': 55362, 'State servant': 21703, 'Unemployed': 22, 'Student': 18, 'Businessman': 10, 'Maternity leave': 5}"
13,NAME_EDUCATION_TYPE,object,0,307511,5,"{'Secondary / secondary special': 218391, 'Higher education': 74863, 'Incomplete higher': 10277, 'Lower secondary': 3816, 'Academic degree': 164}"
14,NAME_FAMILY_STATUS,object,0,307511,6,"{'Married': 196432, 'Single / not married': 45444, 'Civil marriage': 29775, 'Separated': 19770, 'Widow': 16088, 'Unknown': 2}"
15,NAME_HOUSING_TYPE,object,0,307511,6,"{'House / apartment': 272868, 'With parents': 14840, 'Municipal apartment': 11183, 'Rented apartment': 4881, 'Office apartment': 2617, 'Co-op apartment': 1122}"
16,REGION_POPULATION_RELATIVE,float64,0,307511,81,"{0.035792: 16408, 0.04622: 13442, 0.030755: 12163, 0.025164: 11950, 0.026392: 11601, 0.031329: 11321, 0.028663: 11157, 0.019101: 8694, 0.072508: 8412, 0.020713: 8066}"
17,DAYS_BIRTH,int64,0,307511,17460,"{-13749: 43, -13481: 42, -18248: 41, -10020: 41, -15771: 40, -10292: 40, -14267: 39, -13263: 39, -11664: 39, -14395: 39}"
18,DAYS_EMPLOYED,int64,0,307511,12574,"{365243: 55374, -200: 156, -224: 152, -230: 151, -199: 151, -212: 150, -384: 143, -229: 143, -231: 140, -215: 138}"
19,DAYS_REGISTRATION,float64,0,307511,15688,"{-1.0: 113, -7.0: 98, -6.0: 96, -4.0: 92, -2.0: 92, -5.0: 86, -3.0: 84, -9.0: 84, -14.0: 80, -21.0: 80}"
20,DAYS_ID_PUBLISH,int64,0,307511,6168,"{-4053: 169, -4095: 162, -4046: 161, -4417: 159, -4256: 158, -4032: 157, -4151: 157, -4200: 156, -4171: 155, -4214: 155}"
21,OWN_CAR_AGE,float64,202929,104582,62,"{7.0: 7424, 6.0: 6382, 3.0: 6370, 8.0: 5887, 2.0: 5852, 4.0: 5557, 1.0: 5280, 9.0: 5020, 10.0: 4806, 14.0: 4594}"
22,FLAG_MOBIL,int64,0,307511,2,"{1: 307510, 0: 1}"
23,FLAG_EMP_PHONE,int64,0,307511,2,"{1: 252125, 0: 55386}"
24,FLAG_WORK_PHONE,int64,0,307511,2,"{0: 246203, 1: 61308}"
25,FLAG_CONT_MOBILE,int64,0,307511,2,"{1: 306937, 0: 574}"
26,FLAG_PHONE,int64,0,307511,2,"{0: 221080, 1: 86431}"
27,FLAG_EMAIL,int64,0,307511,2,"{0: 290069, 1: 17442}"
28,OCCUPATION_TYPE,object,96391,211120,18,"{'Laborers': 55186, 'Sales staff': 32102, 'Core staff': 27570, 'Managers': 21371, 'Drivers': 18603, 'High skill tech staff': 11380, 'Accountants': 9813, 'Medicine staff': 8537, 'Security staff': 6721, 'Cooking staff': 5946}"
29,CNT_FAM_MEMBERS,float64,2,307509,17,"{2.0: 158357, 1.0: 67847, 3.0: 52601, 4.0: 24697, 5.0: 3478, 6.0: 408, 7.0: 81, 8.0: 20, 9.0: 6, 10.0: 3}"
30,REGION_RATING_CLIENT,int64,0,307511,3,"{2: 226984, 3: 48330, 1: 32197}"
31,REGION_RATING_CLIENT_W_CITY,int64,0,307511,3,"{2: 229484, 3: 43860, 1: 34167}"
32,WEEKDAY_APPR_PROCESS_START,object,0,307511,7,"{'TUESDAY': 53901, 'WEDNESDAY': 51934, 'MONDAY': 50714, 'THURSDAY': 50591, 'FRIDAY': 50338, 'SATURDAY': 33852, 'SUNDAY': 16181}"
33,HOUR_APPR_PROCESS_START,int64,0,307511,24,"{10: 37722, 11: 37229, 12: 34233, 13: 30959, 14: 27682, 9: 27384, 15: 24839, 16: 20385, 8: 15127, 17: 14900}"
34,REG_REGION_NOT_LIVE_REGION,int64,0,307511,2,"{0: 302854, 1: 4657}"
35,REG_REGION_NOT_WORK_REGION,int64,0,307511,2,"{0: 291899, 1: 15612}"
36,LIVE_REGION_NOT_WORK_REGION,int64,0,307511,2,"{0: 295008, 1: 12503}"
37,REG_CITY_NOT_LIVE_CITY,int64,0,307511,2,"{0: 283472, 1: 24039}"
38,REG_CITY_NOT_WORK_CITY,int64,0,307511,2,"{0: 236644, 1: 70867}"
39,LIVE_CITY_NOT_WORK_CITY,int64,0,307511,2,"{0: 252296, 1: 55215}"
40,ORGANIZATION_TYPE,object,0,307511,58,"{'Business Entity Type 3': 67992, 'XNA': 55374, 'Self-employed': 38412, 'Other': 16683, 'Medicine': 11193, 'Business Entity Type 2': 10553, 'Government': 10404, 'School': 8893, 'Trade: type 7': 7831, 'Kindergarten': 6880}"
41,EXT_SOURCE_1,float64,173378,134133,114584,"{0.6227066347478732: 5, 0.4439821179601821: 5, 0.5464264086050881: 5, 0.5810147955776347: 5, 0.4990017461254777: 5, 0.5984686928074158: 5, 0.528197430013715: 5, 0.6677395635616753: 5, 0.605151661169131: 5, 0.3563226644129184: 5}"
42,EXT_SOURCE_2,float64,660,306851,119831,"{0.2858978721410488: 721, 0.2622583692422573: 417, 0.2652563401861944: 343, 0.1596792335026377: 322, 0.2653117484731741: 306, 0.2665197753925157: 244, 0.2631435910213423: 243, 0.162144567666238: 238, 0.1621921059592286: 234, 0.1631870354642708: 184}"
43,EXT_SOURCE_3,float64,60965,246546,814,"{0.746300213050371: 1460, 0.7136313997323308: 1315, 0.6940926425266661: 1276, 0.6706517530862718: 1191, 0.6528965519806539: 1154, 0.5814837058057234: 1141, 0.6894791426446275: 1138, 0.5954562029091491: 1136, 0.5549467685334323: 1132, 0.6212263380626669: 1109}"
44,APARTMENTS_AVG,float64,156061,151450,2339,"{0.0825: 6663, 0.0619: 6332, 0.0928: 4404, 0.0722: 3986, 0.0082: 3507, 0.0165: 3027, 0.1031: 2892, 0.1485: 2769, 0.0124: 2721, 0.0742: 2231}"
45,BASEMENTAREA_AVG,float64,179943,127568,3780,"{0.0: 14745, 0.0545: 251, 0.0818: 251, 0.0727: 248, 0.1091: 246, 0.0796: 245, 0.08: 239, 0.0805: 230, 0.0764: 220, 0.0793: 211}"
46,YEARS_BEGINEXPLUATATION_AVG,float64,150007,157504,285,"{0.9871: 4311, 0.9856: 4189, 0.9861: 4171, 0.9801: 4123, 0.9866: 4114, 0.9806: 4096, 0.9851: 4096, 0.9811: 3986, 0.9816: 3982, 0.9831: 3970}"
47,YEARS_BUILD_AVG,float64,204488,103023,149,"{0.8232: 2999, 0.8164: 2864, 0.8028: 2848, 0.728: 2802, 0.7348: 2761, 0.8096: 2755, 0.83: 2738, 0.7959999999999999: 2734, 0.7484: 2731, 0.7688: 2712}"
48,COMMONAREA_AVG,float64,214865,92646,3181,"{0.0: 8442, 0.0079: 544, 0.0078: 475, 0.008: 446, 0.0077: 414, 0.0086: 365, 0.0014: 345, 0.0069999999999999: 343, 0.0013: 317, 0.0069: 314}"
49,ELEVATORS_AVG,float64,163891,143620,257,"{0.0: 85718, 0.08: 9886, 0.16: 8806, 0.24: 6071, 0.12: 5593, 0.04: 4585, 0.2: 4072, 0.32: 2788, 0.28: 2272, 0.4: 1532}"
50,ENTRANCES_AVG,float64,154828,152683,285,"{0.1379: 34007, 0.069: 22956, 0.1034: 19533, 0.2069: 19062, 0.0345: 15380, 0.1724: 9185, 0.2759: 7895, 0.2414: 4165, 0.3448: 2066, 0.3103: 2049}"
51,FLOORSMAX_AVG,float64,153020,154491,403,"{0.1667: 61875, 0.3333: 31909, 0.0417: 14600, 0.375: 7926, 0.125: 6974, 0.0833: 6586, 0.0: 2938, 0.4583: 2828, 0.625: 1915, 0.5417: 1685}"
52,FLOORSMIN_AVG,float64,208642,98869,305,"{0.2083: 32875, 0.375: 17845, 0.0417: 17776, 0.0833: 5086, 0.4167: 3961, 0.1667: 3537, 0.125: 3336, 0.0: 2320, 0.5: 1688, 0.6667: 1194}"
53,LANDAREA_AVG,float64,182590,124921,3527,"{0.0: 15600, 0.0631: 189, 0.0316: 187, 0.0473: 186, 0.0174: 180, 0.0237: 175, 0.0552: 173, 0.0158: 170, 0.0331: 170, 0.0189: 165}"
54,LIVINGAPARTMENTS_AVG,float64,210199,97312,1868,"{0.0504: 4272, 0.0672: 4231, 0.0756: 2778, 0.0588: 2586, 0.0841: 1864, 0.121: 1793, 0.0067: 1695, 0.0605: 1492, 0.1009: 1456, 0.0134: 1447}"
55,LIVINGAREA_AVG,float64,154350,153161,5199,"{0.0: 284, 0.0512: 243, 0.051: 223, 0.0702: 223, 0.0509: 221, 0.0538: 220, 0.0638: 215, 0.0513: 210, 0.0511: 209, 0.0626: 205}"
56,NONLIVINGAPARTMENTS_AVG,float64,213514,93997,386,"{0.0: 54549, 0.0039: 13606, 0.0077: 6351, 0.0116: 3714, 0.0154: 2533, 0.0193: 1673, 0.0019: 1250, 0.0232: 1195, 0.027: 865, 0.0309: 717}"
57,NONLIVINGAREA_AVG,float64,169682,137829,3290,"{0.0: 58735, 0.0012: 546, 0.0044: 454, 0.0022: 440, 0.0031: 415, 0.001: 405, 0.0011: 405, 0.0036: 399, 0.003: 397, 0.0024: 395}"
58,APARTMENTS_MODE,float64,156061,151450,760,"{0.084: 7522, 0.063: 7451, 0.0945: 4757, 0.0735: 4388, 0.0084: 3970, 0.0168: 3324, 0.105: 3116, 0.1513: 3039, 0.0126: 3034, 0.0756: 2973}"
59,BASEMENTAREA_MODE,float64,179943,127568,3841,"{0.0: 16598, 0.0566: 269, 0.0849: 265, 0.0642: 253, 0.083: 251, 0.1132: 243, 0.0792: 241, 0.0826: 238, 0.0679: 222, 0.0755: 215}"
60,YEARS_BEGINEXPLUATATION_MODE,float64,150007,157504,221,"{0.9871: 4291, 0.9866: 4173, 0.9861: 4167, 0.9801: 4110, 0.9806: 4083, 0.9856: 4075, 0.9851: 4016, 0.9816: 3976, 0.9796: 3974, 0.9791: 3935}"
61,YEARS_BUILD_MODE,float64,204488,103023,154,"{0.8301: 2960, 0.8236: 2879, 0.7387: 2789, 0.8171: 2763, 0.8105: 2755, 0.7452: 2737, 0.8367: 2711, 0.804: 2707, 0.7583: 2704, 0.7779: 2689}"
62,COMMONAREA_MODE,float64,214865,92646,3128,"{0.0: 9690, 0.008: 546, 0.0079: 543, 0.0078: 518, 0.0081: 416, 0.0087: 397, 0.0014: 394, 0.0069999999999999: 363, 0.0071: 341, 0.0012: 332}"
63,ELEVATORS_MODE,float64,163891,143620,26,"{0.0: 89498, 0.0806: 11629, 0.1611: 9675, 0.2417: 6379, 0.1208: 5734, 0.0403: 4876, 0.2014: 3962, 0.3222: 2887, 0.282: 2135, 0.4028: 1554}"
64,ENTRANCES_MODE,float64,154828,152683,30,"{0.1379: 36041, 0.069: 26704, 0.1034: 20533, 0.2069: 19678, 0.0345: 19428, 0.1724: 8986, 0.2759: 8036, 0.2414: 4013, 0.3448: 2046, 0.3103: 2014}"
65,FLOORSMAX_MODE,float64,153020,154491,25,"{0.1667: 65550, 0.3333: 34373, 0.0417: 15616, 0.375: 8321, 0.125: 7267, 0.0833: 6785, 0.0: 3415, 0.4583: 3216, 0.625: 2075, 0.5417: 1836}"
66,FLOORSMIN_MODE,float64,208642,98869,25,"{0.2083: 34403, 0.375: 19042, 0.0417: 18917, 0.0833: 5349, 0.4167: 4105, 0.1667: 3636, 0.125: 3170, 0.0: 2517, 0.5: 1889, 0.6667: 1264}"
67,LANDAREA_MODE,float64,182590,124921,3563,"{0.0: 17453, 0.0194: 208, 0.0645: 193, 0.0484: 192, 0.0323: 188, 0.0147: 178, 0.0144: 175, 0.0111: 175, 0.0258: 173, 0.0242: 172}"
68,LIVINGAPARTMENTS_MODE,float64,210199,97312,736,"{0.0551: 4931, 0.0735: 4797, 0.0826: 2966, 0.0643: 2853, 0.0918: 2069, 0.1322: 1972, 0.0661: 1930, 0.0073: 1883, 0.0147: 1585, 0.0588: 1519}"
69,LIVINGAREA_MODE,float64,154350,153161,5301,"{0.0: 444, 0.053: 272, 0.0532: 262, 0.0529: 249, 0.0533: 242, 0.0561: 224, 0.0656: 224, 0.0734: 223, 0.0536: 222, 0.0525: 220}"
70,NONLIVINGAPARTMENTS_MODE,float64,213514,93997,167,"{0.0: 59255, 0.0039: 14105, 0.0078: 6413, 0.0117: 3675, 0.0156: 2492, 0.0195: 1653, 0.0233: 1177, 0.0272: 840, 0.0311: 711, 0.035: 527}"
71,NONLIVINGAREA_MODE,float64,169682,137829,3327,"{0.0: 67126, 0.0011: 477, 0.0046: 466, 0.0033: 430, 0.0012: 427, 0.0023: 426, 0.0013: 410, 0.003: 370, 0.0055: 363, 0.0037: 357}"
72,APARTMENTS_MEDI,float64,156061,151450,1148,"{0.0833: 7109, 0.0625: 6687, 0.0937: 4622, 0.0729: 4211, 0.0083: 3562, 0.0167: 3098, 0.1041: 3097, 0.1499: 2992, 0.0125: 2801, 0.0749: 2559}"
73,BASEMENTAREA_MEDI,float64,179943,127568,3772,"{0.0: 14991, 0.0818: 271, 0.1091: 266, 0.0545: 265, 0.0727: 248, 0.0796: 246, 0.08: 240, 0.0805: 234, 0.0655: 221, 0.0797: 209}"
74,YEARS_BEGINEXPLUATATION_MEDI,float64,150007,157504,245,"{0.9871: 4314, 0.9861: 4247, 0.9856: 4199, 0.9866: 4138, 0.9801: 4115, 0.9806: 4069, 0.9851: 4032, 0.9796: 3963, 0.9876: 3948, 0.9816: 3930}"
